Count,Output
518,788346-26649-1-1519
519,788346-26649-1-1520
520,788346-26649-1-1521
521,788346-26649-1-1522
522,788346-26649-1-1523
523,788346-26649-1-1524
524,788346-26649-1-1525
525,788346-26649-1-1526
526,788346-26649-1-1527
527,788346-26649-1-1528
528,788346-26649-1-1529
529,788346-26649-1-1530
530,788346-26649-1-1531
531,788346-26649-1-1532
532,788346-26649-1-1533
533,788346-26649-1-1534
534,788346-26649-1-1535
535,788346-26649-1-1536
536,788346-26649-1-1537
537,788346-26649-1-1538
538,788346-26649-1-1539
539,788346-26649-1-1540
540,788346-26649-1-1541
541,788346-26649-1-1542
542,788346-26649-1-1543
543,788346-26649-1-1544
544,788346-26649-1-1545
545,788346-26649-1-1546
546,788346-26649-1-1547
547,788346-26649-1-1548
548,788346-26649-1-1549
549,788346-26649-1-1550
550,788346-26649-1-1551
551,788346-26649-1-1552
552,788346-26649-1-1553
553,788346-26649-1-1554
554,788346-26649-1-1555
555,788346-26649-1-1556
556,788346-26649-1-1557
557,788346-26649-1-1558
558,788346-26649-1-1559
559,788346-26649-1-1560
560,788346-26649-1-1561
561,788346-26649-1-1562
562,788346-26649-1-1563
563,788346-26649-1-1564
564,788346-26649-1-1565
565,788346-26649-1-1566
566,788346-26649-1-1567
567,788346-26649-1-1568
568,788346-26649-1-1569
569,788346-26649-1-1570
570,788346-26649-1-1571
571,788346-26649-1-1572
572,788346-26649-1-1573
573,788346-26649-1-1574
574,788346-26649-1-1575
575,788346-26649-1-1576
576,788346-26649-1-1577
577,788346-26649-1-1578
578,788346-26649-1-1579
579,788346-26649-1-1580
580,788346-26649-1-1581
581,788346-26649-1-1582
582,788346-26649-1-1583
583,788346-26649-1-1584
584,788346-26649-1-1585
585,788346-26649-1-1586
586,788346-26649-1-1587
587,788346-26649-1-1588
588,788346-26649-1-1589
589,788346-26649-1-1590
590,788346-26649-1-1591
591,788346-26649-1-1592
592,788346-26649-1-1593
593,788346-26649-1-1594
594,788346-26649-1-1595
595,788346-26649-1-1596
596,788346-26649-1-1597
597,788346-26649-1-1598
598,788346-26649-1-1599
599,788346-26649-1-1600
600,788346-26649-1-1601
601,788346-26649-1-1602
602,788346-26649-1-1603
603,788346-26649-1-1604
604,788346-26649-1-1605
605,788346-26649-1-1606
606,788346-26649-1-1607
607,788346-26649-1-1608
608,788346-26649-1-1609
609,788346-26649-1-1610
610,788346-26649-1-1611
611,788346-26649-1-1612
612,788346-26649-1-1613
613,788346-26649-1-1614
614,788346-26649-1-1615
615,788346-26649-1-1616
616,788346-26649-1-1617
617,788346-26649-1-1618
618,788346-26649-1-1619
619,788346-26649-1-1620
620,788346-26649-1-1621
621,788346-26649-1-1622
622,788346-26649-1-1623
623,788346-26649-1-1624
624,788346-26649-1-1625
625,788346-26649-1-1626
626,788346-26649-1-1627
627,788346-26649-1-1628
628,788346-26649-1-1629
629,788346-26649-1-1630
630,788346-26649-1-1631
631,788346-26649-1-1632
632,788346-26649-1-1633
633,788346-26649-1-1634
634,788346-26649-1-1635
635,788346-26649-1-1636
636,788346-26649-1-1637
637,788346-26649-1-1638
638,788346-26649-1-1639
639,788346-26649-1-1640
640,788346-26649-1-1641
641,788346-26649-1-1642
642,788346-26649-1-1643
643,788346-26649-1-1644
644,788346-26649-1-1645
645,788346-26649-1-1646
646,788346-26649-1-1647
647,788346-26649-1-1648
648,788346-26649-1-1649
649,788346-26649-1-1650
650,788346-26649-1-1651
651,788346-26649-1-1652
652,788346-26649-1-1653
653,788346-26649-1-1654
654,788346-26649-1-1655
655,788346-26649-1-1656
656,788346-26649-1-1657
657,788346-26649-1-1658
658,788346-26649-1-1659
659,788346-26649-1-1660
660,788346-26649-1-1661
661,788346-26649-1-1662
662,788346-26649-1-1663
663,788346-26649-1-1664
664,788346-26649-1-1665
665,788346-26649-1-1666
666,788346-26649-1-1667
667,788346-26649-1-1668
668,788346-26649-1-1669
669,788346-26649-1-1670
670,788346-26649-1-1671
671,788346-26649-1-1672
672,788346-26649-1-1673
673,788346-26649-1-1674
674,788346-26649-1-1675
675,788346-26649-1-1676
676,788346-26649-1-1677
677,788346-26649-1-1678
678,788346-26649-1-1679
679,788346-26649-1-1680
680,788346-26649-1-1681
681,788346-26649-1-1682
682,788346-26649-1-1683
683,788346-26649-1-1684
684,788346-26649-1-1685
685,788346-26649-1-1686
686,788346-26649-1-1687
687,788346-26649-1-1688
688,788346-26649-1-1689
689,788346-26649-1-1690
690,788346-26649-1-1691
691,788346-26649-1-1692
692,788346-26649-1-1693
693,788346-26649-1-1694
694,788346-26649-1-1695
695,788346-26649-1-1696
696,788346-26649-1-1697
697,788346-26649-1-1698
698,788346-26649-1-1699
699,788346-26649-1-1700
700,788346-26649-1-1701
701,788346-26649-1-1702
702,788346-26649-1-1703
703,788346-26649-1-1704
704,788346-26649-1-1705
705,788346-26649-1-1706
706,788346-26649-1-1707
707,788346-26649-1-1708
708,788346-26649-1-1709
709,788346-26649-1-1710
710,788346-26649-1-1711
711,788346-26649-1-1712
712,788346-26649-1-1713
713,788346-26649-1-1714
714,788346-26649-1-1715
715,788346-26649-1-1716
716,788346-26649-1-1717
717,788346-26649-1-1718
718,788346-26649-1-1719
719,788346-26649-1-1720
720,788346-26649-1-1721
721,788346-26649-1-1722
722,788346-26649-1-1723
723,788346-26649-1-1724
724,788346-26649-1-1725
725,788346-26649-1-1726
726,788346-26649-1-1727
727,788346-26649-1-1728
728,788346-26649-1-1729
729,788346-26649-1-1730
730,788346-26649-1-1731
731,788346-26649-1-1732
732,788346-26649-1-1733
733,788346-26649-1-1734
734,788346-26649-1-1735
735,788346-26649-1-1736
736,788346-26649-1-1737
737,788346-26649-1-1738
738,788346-26649-1-1739
739,788346-26649-1-1740
740,788346-26649-1-1741
741,788346-26649-1-1742
742,788346-26649-1-1743
743,788346-26649-1-1744
744,788346-26649-1-1745
745,788346-26649-1-1746
746,788346-26649-1-1747
747,788346-26649-1-1748
748,788346-26649-1-1749
749,788346-26649-1-1750
750,788346-26649-1-1751
751,788346-26649-1-1752
752,788346-26649-1-1753
753,788346-26649-1-1754
754,788346-26649-1-1755
755,788346-26649-1-1756
756,788346-26649-1-1757
757,788346-26649-1-1758
758,788346-26649-1-1759
759,788346-26649-1-1760
760,788346-26649-1-1761
761,788346-26649-1-1762
762,788346-26649-1-1763
763,788346-26649-1-1764
764,788346-26649-1-1765
765,788346-26649-1-1766
766,788346-26649-1-1767
767,788346-26649-1-1768
768,788346-26649-1-1769
769,788346-26649-1-1770
770,788346-26649-1-1771
771,788346-26649-1-1772
772,788346-26649-1-1773
773,788346-26649-1-1774
774,788346-26649-1-1775
775,788346-26649-1-1776
776,788346-26649-1-1777
777,788346-26649-1-1778
778,788346-26649-1-1779
779,788346-26649-1-1780
780,788346-26649-1-1781
781,788346-26649-1-1782
782,788346-26649-1-1783
783,788346-26649-1-1784
784,788346-26649-1-1785
785,788346-26649-1-1786
786,788346-26649-1-1787
787,788346-26649-1-1788
788,788346-26649-1-1789
789,788346-26649-1-1790
790,788346-26649-1-1791
791,788346-26649-1-1792
792,788346-26649-1-1793
793,788346-26649-1-1794
794,788346-26649-1-1795
795,788346-26649-1-1796
796,788346-26649-1-1797
797,788346-26649-1-1798
798,788346-26649-1-1799
799,788346-26649-1-1800
800,788346-26649-1-1801
801,788346-26649-1-1802
802,788346-26649-1-1803
803,788346-26649-1-1804
804,788346-26649-1-1805
805,788346-26649-1-1806
806,788346-26649-1-1807
807,788346-26649-1-1808
808,788346-26649-1-1809
809,788346-26649-1-1810
810,788346-26649-1-1811
811,788346-26649-1-1812
812,788346-26649-1-1813
813,788346-26649-1-1814
814,788346-26649-1-1815
815,788346-26649-1-1816
816,788346-26649-1-1817
817,788346-26649-1-1818
818,788346-26649-1-1819
819,788346-26649-1-1820
820,788346-26649-1-1821
821,788346-26649-1-1822
822,788346-26649-1-1823
823,788346-26649-1-1824
824,788346-26649-1-1825
825,788346-26649-1-1826
826,788346-26649-1-1827
827,788346-26649-1-1828
828,788346-26649-1-1829
829,788346-26649-1-1830
830,788346-26649-1-1831
831,788346-26649-1-1832
832,788346-26649-1-1833
833,788346-26649-1-1834
834,788346-26649-1-1835
835,788346-26649-1-1836
836,788346-26649-1-1837
837,788346-26649-1-1838
838,788346-26649-1-1839
839,788346-26649-1-1840
840,788346-26649-1-1841
841,788346-26649-1-1842
842,788346-26649-1-1843
843,788346-26649-1-1844
844,788346-26649-1-1845
845,788346-26649-1-1846
846,788346-26649-1-1847
847,788346-26649-1-1848
848,788346-26649-1-1849
849,788346-26649-1-1850
850,788346-26649-1-1851
851,788346-26649-1-1852
852,788346-26649-1-1853
853,788346-26649-1-1854
854,788346-26649-1-1855
855,788346-26649-1-1856
856,788346-26649-1-1857
857,788346-26649-1-1858
858,788346-26649-1-1859
859,788346-26649-1-1860
860,788346-26649-1-1861
861,788346-26649-1-1862
862,788346-26649-1-1863
863,788346-26649-1-1864
864,788346-26649-1-1865
865,788346-26649-1-1866
866,788346-26649-1-1867
867,788346-26649-1-1868
868,788346-26649-1-1869
869,788346-26649-1-1870
870,788346-26649-1-1871
871,788346-26649-1-1872
872,788346-26649-1-1873
873,788346-26649-1-1874
874,788346-26649-1-1875
875,788346-26649-1-1876
876,788346-26649-1-1877
877,788346-26649-1-1878
878,788346-26649-1-1879
879,788346-26649-1-1880
880,788346-26649-1-1881
881,788346-26649-1-1882
882,788346-26649-1-1883
883,788346-26649-1-1884
884,788346-26649-1-1885
885,788346-26649-1-1886
886,788346-26649-1-1887
887,788346-26649-1-1888
888,788346-26649-1-1889
889,788346-26649-1-1890
890,788346-26649-1-1891
891,788346-26649-1-1892
892,788346-26649-1-1893
893,788346-26649-1-1894
894,788346-26649-1-1895
895,788346-26649-1-1896
896,788346-26649-1-1897
897,788346-26649-1-1898
898,788346-26649-1-1899
899,788346-26649-1-1900
900,788346-26649-1-1901
901,788346-26649-1-1902
902,788346-26649-1-1903
903,788346-26649-1-1904
904,788346-26649-1-1905
905,788346-26649-1-1906
906,788346-26649-1-1907
907,788346-26649-1-1908
908,788346-26649-1-1909
909,788346-26649-1-1910
910,788346-26649-1-1911
911,788346-26649-1-1912
912,788346-26649-1-1913
913,788346-26649-1-1914
914,788346-26649-1-1915
915,788346-26649-1-1916
916,788346-26649-1-1917
917,788346-26649-1-1918
918,788346-26649-1-1919
919,788346-26649-1-1920
920,788346-26649-1-1921
921,788346-26649-1-1922
922,788346-26649-1-1923
923,788346-26649-1-1924
924,788346-26649-1-1925
925,788346-26649-1-1926
926,788346-26649-1-1927
927,788346-26649-1-1928
928,788346-26649-1-1929
929,788346-26649-1-1930
930,788346-26649-1-1931
931,788346-26649-1-1932
932,788346-26649-1-1933
933,788346-26649-1-1934
934,788346-26649-1-1935
935,788346-26649-1-1936
936,788346-26649-1-1937
937,788346-26649-1-1938
938,788346-26649-1-1939
939,788346-26649-1-1940
940,788346-26649-1-1941
941,788346-26649-1-1942
942,788346-26649-1-1943
943,788346-26649-1-1944
944,788346-26649-1-1945
945,788346-26649-1-1946
946,788346-26649-1-1947
947,788346-26649-1-1948
948,788346-26649-1-1949
949,788346-26649-1-1950
950,788346-26649-1-1951
951,788346-26649-1-1952
952,788346-26649-1-1953
953,788346-26649-1-1954
954,788346-26649-1-1955
955,788346-26649-1-1956
956,788346-26649-1-1957
957,788346-26649-1-1958
958,788346-26649-1-1959
959,788346-26649-1-1960
960,788346-26649-1-1961
961,788346-26649-1-1962
962,788346-26649-1-1963
963,788346-26649-1-1964
964,788346-26649-1-1965
965,788346-26649-1-1966
966,788346-26649-1-1967
967,788346-26649-1-1968
968,788346-26649-1-1969
969,788346-26649-1-1970
970,788346-26649-1-1971
971,788346-26649-1-1972
972,788346-26649-1-1973
973,788346-26649-1-1974
974,788346-26649-1-1975
975,788346-26649-1-1976
976,788346-26649-1-1977
977,788346-26649-1-1978
978,788346-26649-1-1979
979,788346-26649-1-1980
980,788346-26649-1-1981
981,788346-26649-1-1982
982,788346-26649-1-1983
983,788346-26649-1-1984
984,788346-26649-1-1985
985,788346-26649-1-1986
986,788346-26649-1-1987
987,788346-26649-1-1988
988,788346-26649-1-1989
989,788346-26649-1-1990
990,788346-26649-1-1991
991,788346-26649-1-1992
992,788346-26649-1-1993
993,788346-26649-1-1994
994,788346-26649-1-1995
995,788346-26649-1-1996
996,788346-26649-1-1997
997,788346-26649-1-1998
998,788346-26649-1-1999
999,788346-26649-1-2000
1000,788346-26649-1-2001
1001,788346-26649-1-2002
1002,788346-26649-1-2003
1003,788346-26649-1-2004
1004,788346-26649-1-2005
1005,788346-26649-1-2006
1006,788346-26649-1-2007
1007,788346-26649-1-2008
1008,788346-26649-1-2009
1009,788346-26649-1-2010
1010,788346-26649-1-2011
1011,788346-26649-1-2012
1012,788346-26649-1-2013
1013,788346-26649-1-2014
1014,788346-26649-1-2015
1015,788346-26649-1-2016
1016,788346-26649-1-2017
1017,788346-26649-1-2018
1018,788346-26649-1-2019
1019,788346-26649-1-2020
1020,788346-26649-1-2021
1021,788346-26649-1-2022
1022,788346-26649-1-2023
1023,788346-26649-1-2024
1024,788346-26649-1-2025
1025,788346-26649-1-2026
1026,788346-26649-1-2027
1027,788346-26649-1-2028
1028,788346-26649-1-2029
1029,788346-26649-1-2030
1030,788346-26649-1-2031
1031,788346-26649-1-2032
1032,788346-26649-1-2033
1033,788346-26649-1-2034
1034,788346-26649-1-2035
1035,788346-26649-1-2036
1036,788346-26649-1-2037
1037,788346-26649-1-2038
1038,788346-26649-1-2039
1039,788346-26649-1-2040
1040,788346-26649-1-2041
1041,788346-26649-1-2042
1042,788346-26649-1-2043
1043,788346-26649-1-2044
1044,788346-26649-1-2045
1045,788346-26649-1-2046
1046,788346-26649-1-2047
1047,788346-26649-1-2048
1048,788346-26649-1-2049
1049,788346-26649-1-2050
1050,788346-26649-1-2051
1051,788346-26649-1-2052
1052,788346-26649-1-2053
1053,788346-26649-1-2054
1054,788346-26649-1-2055
1055,788346-26649-1-2056
1056,788346-26649-1-2057
1057,788346-26649-1-2058
1058,788346-26649-1-2059
1059,788346-26649-1-2060
1060,788346-26649-1-2061
1061,788346-26649-1-2062
1062,788346-26649-1-2063
1063,788346-26649-1-2064
1064,788346-26649-1-2065
1065,788346-26649-1-2066
1066,788346-26649-1-2067
1067,788346-26649-1-2068
1068,788346-26649-1-2069
1069,788346-26649-1-2070
